STATION,HTDD,year
USC00312238,3909,2018
USC00312238,3703,2019
USC00312238,3599,2020
USC00312238,3701,2021
USC00312500,3355,2010
USC00312500,3288,2011
USC00312500,2432,2012
USC00312500,3194,2013
USC00312500,3258,2014
USC00312500,3359,2015
USC00312500,2503,2016
USC00312500,2362,2017
USC00312500,3193,2018
USC00312500,2727,2019
USC00312500,2510,2020
USC00312500,2864,2021
USC00312515,3878,2010
USC00312515,,2011
USC00312515,,2012
USC00312515,,2013
USC00312560,2929,2010
USC00312560,,2011
USC00312574,,2011
USC00312574,3262,2012
USC00312574,4041,2013
USC00312574,,2014
USC00312574,,2015
USC00312574,,2016
USC00312574,,2017
USC00312574,,2020
USC00312574,,2021
USC00312631,,2010
USC00312631,,2011
USC00312631,3382,2012
USC00312631,4160,2013
USC00312631,4201,2014
USC00312631,4189,2015
USC00312631,3251,2016
USC00312631,3108,2017
USC00312631,4102,2018
USC00312631,3840,2019
USC00312631,3726,2020
USC00312631,3829,2021
USC00312635,3172,2010
USC00312635,3328,2011
USC00312635,2389,2012
USC00312635,3202,2013
USC00312635,3261,2014
USC00312635,3353,2015
USC00312635,2414,2016
USC00312635,2497,2017
USC00312635,3049,2018
USC00312635,2633,2019
USC00312635,2460,2020
USC00312635,2717,2021
USC00312719,,2014
USC00312719,3307,2015
USC00312719,2385,2016
USC00312719,2524,2017
USC00312719,2997,2018
USC00312719,,2019
USC00312719,,2020
USC00312719,2732,2021
USC00312732,3026,2010
USC00312732,,2011
USC00312732,2260,2012
USC00312732,,2013
USC00312732,3237,2014
USC00312732,,2015
USC00312732,,2016
USC00312732,,2017
USC00312732,,2018
USC00312740,,2010
USC00312740,,2011
USC00312740,3486,2012
USC00312740,4252,2013
USC00312740,,2014
USC00312740,4408,2015
USC00312740,,2016
USC00312740,3316,2017
USC00312740,4196,2018
USC00312740,4055,2019
USC00312740,,2020
USC00312740,,2021
USC00312837,4439,2010
USC00312837,4321,2011
USC00312837,,2012
USC00312837,4282,2013
USC00312837,4655,2014
USC00312837,4370,2015
USC00312837,3789,2016
USC00312837,3510,2017
USC00312837,4299,2018
USC00312837,4008,2019
USC00312837,3909,2020
USC00312837,4165,2021
USC00312940,,2010
USC00312940,,2012
USC00312940,3449,2013
USC00312940,,2019
USC00312940,,2020
USC00312993,,2010
USC00312993,3799,2011
USC00312993,2959,2012
USC00312993,3753,2013
USC00312993,4064,2015
USC00312993,3244,2016
USC00312993,3169,2017
USC00312993,3816,2018
USC00312993,3561,2019
USC00312993,,2020
USC00312993,3482,2021
USC00313017,,2010
USC00313017,,2011
USC00313017,,2012
USC00313017,3111,2013
USC00313017,,2014
USC00313017,3286,2015
USC00313017,,2016
USC00313017,2454,2017
USC00313017,3044,2018
USC00313017,2636,2019
USC00313017,,2020
USC00313017,2649,2021
USC00313072,5586,2010
USC00313072,5386,2011
USC00313072,4488,2012
USC00313072,5495,2013
USC00313072,5421,2014
USC00313072,5331,2015
USC00313072,4492,2016
USC00313072,4142,2017
USC00313072,4917,2018
USC00313072,4822,2019
USC00313072,4780,2020
USC00313072,4974,2021
USC00313106,4685,2010
USC00313106,4590,2011
USC00313106,3709,2012
USC00313106,4452,2013
USC00313106,4644,2014
USC00313106,,2015
USC00313106,3872,2016
USC00313106,3621,2017
USC00313106,4317,2018
USC00313106,4071,2019
USC00313106,4350,2021
USC00313152,4163,2010
USC00313152,3832,2011
USC00313152,3272,2012
USC00313152,3932,2013
USC00313152,4151,2014
USC00313152,3860,2015
USC00313152,3336,2016
USC00313152,2974,2017
USC00313152,3656,2018
USC00313152,3469,2019
USC00313152,3295,2020
USC00313152,3491,2021
USC00313238,,2011
USC00313238,3109,2012
USC00313238,3907,2013
USC00313238,3894,2014
USC00313238,4019,2015
USC00313238,3143,2016
USC00313238,3109,2017
USC00313238,3806,2018
USC00313238,3481,2019
USC00313238,2954,2020
USC00313238,3270,2021
USC00313356,3553,2010
USC00313356,3499,2011
USC00313356,2574,2012
USC00313356,3136,2013
USC00313356,3543,2014
USC00313356,3390,2015
USC00313356,2731,2016
USC00313356,2408,2017
USC00313356,3085,2018
USC00313356,2909,2019
USC00313356,2697,2020
USC00313356,2927,2021
USC00313503,,2011
USC00313503,2720,2012
USC00313503,3471,2013
USC00313503,3597,2014
USC00313503,3556,2015
USC00313503,2667,2016
USC00313503,2700,2017
USC00313503,3359,2018
USC00313503,2903,2019
USC00313503,2809,2020
USC00313503,,2021
USC00313565,,2010
USC00313565,,2011
USC00313565,5637,2012
USC00313565,,2013
USC00313565,,2014
USC00313565,,2015
USC00313565,,2016
USC00313565,5587,2017
USC00313565,6572,2018
USC00313565,6103,2019
USC00313565,6038,2020
USC00313565,6369,2021
USC00313566,,2019
USC00313566,5496,2020
USC00313566,5686,2021
USC00313625,3551,2010
USC00313625,,2011
USC00313625,,2012
USC00313625,3611,2013
USC00313625,3661,2015
USC00313625,2898,2016
USC00313625,2596,2017
USC00313625,,2019
USC00313625,3107,2020
USC00313625,3413,2021
USC00313638,3150,2010
USC00313638,3320,2011
USC00313638,2416,2012
USC00313638,3118,2013
USC00313638,3174,2014
USC00313638,3284,2015
USC00313638,2358,2016
USC00313638,2422,2017
USC00313638,3063,2018
USC00313638,2696,2019
USC00313638,2445,2020
USC00313638,2704,2021
USC00313784,3351,2010
USC00313784,3318,2011
USC00313784,2355,2012
USC00313784,2982,2013
USC00313784,3131,2014
USC00313784,3127,2015
USC00313784,2321,2016
USC00313784,2242,2017
USC00313784,2884,2018
USC00313784,2619,2019
USC00313784,,2020
USC00313784,2736,2021
USC00313919,,2010
USC00313919,,2011
USC00313919,,2012
USC00313919,3644,2013
USC00313919,,2016
USC00313919,2929,2017
USC00313919,3464,2018
USC00313969,4167,2010
USC00313969,,2011
USC00313969,3264,2012
USC00313969,4152,2013
USC00313969,4356,2014
USC00313969,4322,2015
USC00313969,,2016
USC00313969,3165,2017
USC00313969,3953,2018
USC00313969,,2019
USC00313969,,2020
USC00313969,,2021
USC00313971,3392,2015
USC00313971,,2016
USC00313971,,2017
USC00313971,,2018
USC00313971,3166,2019
USC00313971,2787,2020
USC00313971,3165,2021
USC00313976,,2010
USC00313976,,2011
USC00313976,,2012
USC00313976,4213,2013
USC00313976,4607,2014
USC00313976,4219,2015
USC00313976,3801,2016
USC00313976,3489,2017
USC00313976,4297,2018
USC00313976,4060,2019
USC00313976,3971,2020
USC00313976,4219,2021
USC00314063,3431,2010
USC00314063,3363,2011
USC00314063,,2012
USC00314063,3320,2013
USC00314063,,2014
USC00314063,3384,2015
USC00314063,2681,2016
USC00314063,,2017
USC00314063,3207,2018
USC00314063,3092,2019
USC00314063,,2020
USC00314063,3095,2021
USC00314144,3367,2010
USC00314260,,2010
USC00314260,,2011
USC00314260,,2012
USC00314260,,2013
USC00314260,4102,2014
USC00314260,,2015
USC00314260,,2016
USC00314260,3040,2017
USC00314260,3788,2018
USC00314260,3523,2019
USC00314260,3455,2020
USC00314260,3618,2021
USC00314456,,2010
USC00314456,3972,2011
USC00314456,3096,2012
USC00314456,3984,2013
USC00314456,4076,2014
USC00314456,4102,2015
USC00314456,3177,2017
USC00314456,3841,2018
USC00314456,3468,2019
USC00314456,3318,2020
USC00314456,3531,2021
USC00314464,3579,2010
USC00314464,3577,2011
USC00314464,3362,2013
USC00314464,3400,2014
USC00314464,3211,2015
USC00314464,2445,2016
USC00314464,2465,2017
USC00314464,3058,2018
USC00314464,2868,2019
USC00314464,2660,2020
USC00314464,2897,2021
USC00314471,2849,2010
USC00314471,,2011
USC00314471,,2012
USC00314471,,2013
USC00314471,,2014
USC00314471,2900,2015
USC00314471,,2016
USC00314471,,2017
USC00314471,2785,2018
USC00314471,2263,2019
USC00314471,,2020
USC00314471,,2021
USC00314496,5786,2010
USC00314496,5684,2011
USC00314496,4884,2012
USC00314496,,2013
USC00314496,5536,2014
USC00314496,5512,2015
USC00314496,5004,2016
USC00314496,4641,2017
USC00314496,5393,2018
USC00314496,5097,2019
USC00314496,5055,2020
USC00314496,,2021
USC00314684,3447,2010
USC00314684,3507,2011
USC00314684,,2012
USC00314684,3289,2013
USC00314684,3406,2014
USC00314684,3478,2015
USC00314684,2555,2016
USC00314684,2654,2017
USC00314689,2717,2010
USC00314689,2797,2011
USC00314689,1969,2012
USC00314689,2670,2013
USC00314689,,2014
USC00314689,1991,2016
USC00314689,1951,2017
USC00314689,2603,2018
USC00314689,2398,2019
USC00314689,2560,2020
USC00314689,2810,2021
USC00314764,,2010
USC00314764,,2012
USC00314764,,2013
USC00314764,,2014
USC00314764,,2015
USC00314764,3143,2016
USC00314764,2874,2017
USC00314764,3555,2018
USC00314764,3408,2019
USC00314764,3236,2020
USC00314764,3323,2021
USC00314860,3249,2010
USC00314860,,2011
USC00314860,2462,2012
USC00314860,,2013
USC00314860,,2014
USC00314860,3163,2015
USC00314860,,2016
USC00314860,,2017
USC00314860,,2018
USC00314860,,2019
USC00314860,2347,2020
USC00314860,2216,2021
USC00314938,4016,2010
USC00314938,3935,2011
USC00314938,3037,2012
USC00314938,3921,2013
USC00314938,4074,2014
USC00314938,4000,2015
USC00314938,3334,2016
USC00314938,3090,2017
USC00314938,3951,2018
USC00314938,3649,2019
USC00314938,3545,2020
USC00314938,3651,2021
USC00314962,3496,2010
USC00314962,3555,2011
USC00314962,2745,2012
USC00314962,3434,2013
USC00314962,3720,2015
