weather_station,year,HTDD
STATION,HTDD,
USC00312719,2524,
USC00312719,2997,
USC00312719,,
USC00312719,,
USC00312719,2732,
USC00312732,3026,
USC00312732,,
USC00312732,2260,
USC00312732,,
USC00312732,3237,
USC00312732,,
USC00312732,,
USC00312732,,
USC00312732,,
USC00312740,,
USC00312740,,
USC00312740,3486,
USC00312740,4252,
USC00312740,,
USC00312740,4408,
USC00312740,,
USC00312740,3316,
USC00312740,4196,
USC00312740,4055,
USC00312740,,
USC00312740,,
USC00312837,4439,
USC00312837,4321,
USC00312837,,
USC00312837,4282,
USC00312837,4655,
USC00312837,4370,
USC00312837,3789,
USC00312837,3510,
USC00312837,4299,
USC00312837,4008,
USC00312837,3909,
USC00312837,4165,
USC00312940,,
USC00312940,,
USC00312940,3449,
USC00312940,,
USC00312940,,
USC00312993,,
USC00312993,3799,
USC00312993,2959,
USC00312993,3753,
USC00312993,4064,
USC00312993,3244,
USC00312993,3169,
USC00312993,3816,
USC00312993,3561,
USC00312993,,
USC00312993,3482,
USC00313017,,
USC00313017,,
USC00313017,,
USC00313017,3111,
USC00313017,,
USC00313017,3286,
USC00313017,,
USC00313017,2454,
USC00313017,3044,
USC00313017,2636,
USC00313017,,
USC00313017,2649,
USC00313072,5586,
USC00313072,5386,
USC00313072,4488,
USC00313072,5495,
USC00313072,5421,
USC00313072,5331,
USC00313072,4492,
USC00313072,4142,
USC00313072,4917,
USC00313072,4822,
USC00313072,4780,
USC00313072,4974,
USC00313106,4685,
USC00313106,4590,
USC00313106,3709,
USC00313106,4452,
USC00313106,4644,
USC00313106,,
USC00313106,3872,
USC00313106,3621,
USC00313106,4317,
USC00313106,4071,
USC00313106,4350,
USC00313152,4163,
USC00313152,3832,
USC00313152,3272,
USC00313152,3932,
USC00313152,4151,
USC00313152,3860,
USC00313152,3336,
USC00313152,2974,
USC00313152,3656,
USC00313152,3469,
USC00313152,3295,
USC00313152,3491,
USC00313238,,
USC00313238,3109,
USC00313238,3907,
USC00313238,3894,
USC00313238,4019,
USC00313238,3143,
USC00313238,3109,
USC00313238,3806,
USC00313238,3481,
USC00313238,2954,
USC00313238,3270,
USC00313356,3553,
USC00313356,3499,
USC00313356,2574,
USC00313356,3136,
USC00313356,3543,
USC00313356,3390,
USC00313356,2731,
USC00313356,2408,
USC00313356,3085,
USC00313356,2909,
USC00313356,2697,
USC00313356,2927,
USC00313503,,
USC00313503,2720,
USC00313503,3471,
USC00313503,3597,
USC00313503,3556,
USC00313503,2667,
USC00313503,2700,
USC00313503,3359,
USC00313503,2903,
USC00313503,2809,
USC00313503,,
USC00313565,,
USC00313565,,
USC00313565,5637,
USC00313565,,
USC00313565,,
USC00313565,,
USC00313565,,
USC00313565,5587,
USC00313565,6572,
USC00313565,6103,
USC00313565,6038,
USC00313565,6369,
USC00313566,,
USC00313566,5496,
USC00313566,5686,
USC00313625,3551,
USC00313625,,
USC00313625,,
USC00313625,3611,
USC00313625,3661,
USC00313625,2898,
USC00313625,2596,
USC00313625,,
USC00313625,3107,
USC00313625,3413,
USC00313638,3150,
USC00313638,3320,
USC00313638,2416,
USC00313638,3118,
USC00313638,3174,
USC00313638,3284,
USC00313638,2358,
USC00313638,2422,
USC00313638,3063,
USC00313638,2696,
USC00313638,2445,
USC00313638,2704,
